pátio,código,em_operação,auto_assistido,comprimento_útil_desvio,tempo_médio_licenc,id
corupa,lhs,sim,nao,1885.0,3.0,55.0
rio natal,lnt,sim,nao,1546.0,3.0,56.0
rio vermelho,lrv,sim,nao,1669.0,3.0,57.0
rio negrinho,lno,sim,nao,528.0,3.0,58.0
avencal,lrp,sim,nao,1261.0,3.0,59.0
cruz lima,llm,sim,nao,1533.0,3.0,60.0
arroio grande,lad,sim,nao,740.0,3.0,61.0
agua clara do sul,lal,sim,nao,783.0,3.0,62.0
inacio martins,lim,sim,nao,750.0,3.0,63.0
gois artigas,lga,sim,nao,792.0,3.0,64.0
afonso camargo,lao,sim,nao,785.0,3.0,65.0
eng. joao passos,ljs,sim,nao,858.0,3.0,66.0
guarapuava,lgp,sim,nao,885.0,0.0,67.0
jaguariaiva,ljr,nao,nao,671.0,3.0,68.0
marques dos reis,lmq,sim,nao,844.0,4.0,69.0
fabrica pisa,l03,nao,nao,0.0,0.0,70.0
maringa,lmg,sim,sim,7647.0,4.0,71.0
posto km 543,l04,nao,nao,0.0,0.0,72.0
antonina,lat,sim,nao,200.0,0.0,73.0
joaquim murtinho,lmu,nao,nao,884.0,3.0,74.0
